cname,cename,cuname,acode,acname,bcode,bcname,hcode,hcname,stType,ecotype,exmarket,bexmarket,mananger,lere,domi,doshi,stockre,aldoshi,phone,email,tax,website,warea,sarea,area,postcode,signcoin,buscode,hnum,mnum,lesta,kusta,intro,buarea,sdate,bdate,fabei,onlinedate,faway,evalue,fasize,favalue,facost,fa_avalue,collcoin,firmon,firback,fircha,firsthigh,onliqian,inqian
上海浦东发展银行股份有限公司,"Shanghai Pudong Development Bank Co.,Ltd.",浦发银行->G浦发,600000,浦发银行,--,--,--,--,上交所主板A股,银行,上海证券交易所,金融业-货币金融服务,潘卫东,郑杨,谢伟,郑杨,"李光明,吴蓉","吴弘,蔡洪平,袁志刚,张鸣,王喆",021-63611226,bdo@spdb.com.cn,021-63230807,www.spdb.com.cn,上海市中山东一路12号,上海市中山东一路12号,上海,200002,294亿,9131000013221158XC,55973,29,上海市锦天城律师事务所,普华永道中天会计师事务所(特殊普通合伙),"上海浦东发展银行股份有限公司(以下简称:浦发银行)是1992年8月28日经中国人民银行批准设立、1993年1月9日开业、1999年在上海证券交易所挂牌上市(股票交易代码:600000)的全国性股份制商业银行,总行设在上海。目前,注册资本金293.52亿元。良好的业绩、诚信的声誉,使浦发银行成为中国证券市场中备受关注和尊敬的上市公司。 秉承“笃守诚信,创造卓越”的核心价值观,浦发银行积极探索金融创新,资产规模持续扩大,经营实力不断增强。至2018年9月末,公司总资产规模达6.09万亿元。目前,浦发银行已在境内外设立了41家一级分行、约1800家营业机构,拥有超过5万名员工,架构起全国性国际化商业银行的经营服务格局。近年来,浦发银行加快国际化、综合化经营发展,以香港、新加坡、伦敦分行开业、浦银国际成立为标志,国际化经营步伐不断加快,以投资设立浦发村镇银行、浦银金融租赁有限公司、浦发硅谷银行等机构和顺利收购上海国际信托有限公司为标志,积极推进综合化经营。 上市以来,浦发银行连续多年被《亚洲周刊》评为“中国上市公司100强”。2018年2月,英国《银行家》杂志发布“全球银行品牌500强”排名,浦发银行位列第13位,居上榜中资银行第6位,品牌价值147.72亿美元;6月,美国《福布斯》杂志发布“全球企业2000强”排名,浦发银行位列第70位,居上榜中资企业第13位、中资银行第9位;7月,英国《银行家》杂志发布“全球银行1000强”排名,根据核心资本,浦发银行位列全球第25位,居上榜中资银行第8位; 同月,美国《财富》杂志发布“财富世界500强”排名,浦发银行位列第227位,居上榜中资企业第48位、中资银行第7位。目前,浦发银行是国内为数不多同时获得三大国际评级机构投资级以上评级的股份制商业银行之一:惠誉对浦发银行的评级为长期发行人违约评级BBB,评级展望稳定;标普对浦发银行的评级为长期信用评级BBB、短期信用评级A-2,评级展望稳定;穆迪对浦发银行的评级为长期存款评级Baa2、短期存款评级Prime-2,评级展望稳定。 深耕金融服务的同时,浦发银行积极践行社会责任,致力于打造优秀企业公民。2017年浦发银行获评中国银行业协会“年度公益慈善贡优秀项目奖”、“年度社会责任绿色金融奖”、“年度社会责任特殊贡献网点奖”。 在新一轮发展中,浦发银行将全面贯彻落实党的十九大、全国金融工作会议、中央经济工作会议精神,因势而变、顺势而为、乘势而上,推进转型发展,坚持以客户为中心,科技引领,打造一流数字生态银行,努力成为新时代金融业高质量发展的排头兵。","吸收公众存款;发放短期、中期和长期贷款;办理结算;办理票据贴现;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券;同业拆借;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务。外汇存款;外汇贷款;外汇汇款;外币兑换;国际结算;同业外汇拆借;,外汇票据的承兑和贴现;外汇借款;外汇担保;结汇、售汇;买卖和代理买卖股票以外的外币有价证券;自营外汇买卖;代客外汇买卖;资信调查、咨询、见证业务;离岸银行业务。经中国人民银行批准的其他业务。",1992-10-19,1999-11-10,26.3,1999-09-23,网下定价发行,1.00,4.00亿,10.00,4500万,40.0亿,39.6亿,29.50,27.75,54.40%,29.80,--,1.42%
邯郸钢铁股份有限公司,"Handan Iron and Steel Co.,Ltd.",邯郸钢铁->G邯钢,--,--,--,--,--,--,--,--,上海证券交易所,--,张延卿,李贵阳,陈占军,李贵阳,赵青松,"宋淑艾,郭振英,陈金城,杨晓维,路文志",0310-6071006,hdgt@mail.hgjt.cn,0310-6074190,www.hdgt.com.cn,河北省邯郸市复兴路232号,河北省邯郸市复兴路232号,河北,056015,28.2亿,--,0,22,北京大成律师事务所,中兴财光华会计师事务所(特殊普通合伙),--,黑色金属冶炼、钢坯、钢材轧制、烧结矿冶炼;焦炭及副产品制造、销售;冶金机械配件的加工、维修。氧气、蒸汽生产;发电及污水处理。,1998-01-20,1998-01-22,13,1997-12-19,网下定价发行,1.00,3.50亿,7.50,3500万,26.3亿,25.8亿,8.00,7.91,34.12%,8.49,--,1.69%
中国石化齐鲁股份有限公司,Sinopec Qilu Company Ltd.,--,--,--,--,--,--,--,--,--,上海证券交易所,--,王浩水,张瑞生,李风安,张瑞生,鲍伟松,"张鸣华,任辉,匡永泰",0533-3583728,qlsh600002@126.com,0533-3583718,www.qilu.com.cn,山东省淄博市高新技术产业开发区,山东省淄博市高新技术产业开发区,山东,255086,19.5亿,--,0,19,北京市嘉源律师事务所,毕马威华振会计师事务所(特殊普通合伙),公司主要经营合成树脂、有机化工原料、烧碱、合成橡胶四大类产品。,石油化工产品及无机化工产品的生产、加工、销售、仓储、运输及科研开发和综合技术服务。 主营:合成树脂、有机化工原料、烧碱、合成橡胶四大类产品。,1998-03-18,1998-04-08,13,1998-03-03,网下定价发行,1.00,3.50亿,5.00,3086万,17.5亿,17.2亿,5.47,5.25,40.67%,5.48,--,2.58%
东北高速公路股份有限公司,Northeast Expressway Company Ltd.,东北高速->S东北高->东北高速,--,--,--,--,--,--,--,高速公路,上海证券交易所,--,李吉胜,孙熠嵩,戴琦,孙熠嵩,--,"陈守东,刘德权,王兆君,董平如",0431-84639168,dbgs@vip.sina.com,0431-84653168,www.northeast-expressway.cn,吉林省长春市经济技术开发区浦东路4488号,吉林省长春市宽城区长江路377号,吉林,130033,12.1亿,220000000024454,0,28,北京嘉和律师事务所,北京永拓会计师事务所(特殊普通合伙),--,公路开发、建设管理、养护、经营;普通机械、办公设备、汽车配件、建筑材料;经济信息咨询;普通货运;仓储服务、物流服务;大豆深加工。,1999-07-21,1999-08-10,18.7,1999-07-05,网下定价发行,1.00,3.00亿,4.00,2065万,12.0亿,11.8亿,5.35,6.82,63.00%,7.80,--,3.34%
广州白云国际机场股份有限公司,Guangzhou Baiyun International Airport Company Limited,白云机场->G穗机场,600004,白云机场,--,--,--,--,上交所主板A股,民航机场,上海证券交易所,交通运输、仓储和邮政业-航空运输业,邱嘉臣(代),邱嘉臣,戚耀明,邱嘉臣,董新玲,"许汉忠,毕井双,饶品贵",020-36063595,600004@gdairport.com,020-36063416,www.baiyunport.com,广州白云国际机场南工作区自编一号股份公司本部办公大楼,广州白云国际机场南工作区自编一号,广东,510470,20.7亿,914400007250669553,12981,21,北京市奋迅律师事务所,立信会计师事务所(特殊普通合伙),"广州白云国际机场股份有限公司,广州白云国际机场是中国三大国际枢纽机场之一,更是亚洲乃至世界繁忙的机场之一。截止2016年底,白云机场航线网络已覆盖全球200多个通航点,其中国际及地区航点超过80个,通达全球40多个国家和地区;已有近70家航空公司在白云机场运营,其中外航和地区公司44家。2004年8月5日新白云机场启用以来,业务迅猛发展,2010年ACI(国际机场协会)全球机场旅客满意度测评中居第7位,晋升""世界十佳服务机场"",2016实现年旅客吞吐量5978万人次,跻身世界超大型繁忙机场行列。公司为白云机场的管理和运营机构,以白云机场为经营载体,主要从事以航空器、旅客和货物、邮件为对象,提供飞机起降与停场、旅客综合服务、安全检查以及航空地面保障等航空服务业务,和货邮代理服务、航站楼内商业场地租赁服务、特许经营服务、地面运输服务和广告服务等航空性延伸服务业务。","旅客过港服务;与航空运输有关的地面服务、交通运输和仓储服务;航空设施使用服务;提供航空营业场所;航空器维修(凭资质证书经营);航空代理、航空保险销售代理业务;航空运输技术协作中介服务;行李封包业务;航空应急救援服务;航空信息咨询服务;航空运输业务有关的延伸服务。以下业务由分支机构经营:汽车和机电设备维修,汽车、摩托车安全技术检验(持交警部门委托证书经营);包车客运、班车客运、出租车客货及客运站经营;饮食、住宿服务;食品加工;广告业务;国内商业(专营专控商品凭许可证经营);销售小轿车;供电系统运行管理,电气设备设施维修维护;供水系统运行管理(含二次加压),供水设备设施维护维修;水电计量管理;机场助航灯光设备技术咨询、检修及更新改造项目;机场专用设备、设施的安装、维修及相关服务;建筑设施装饰维修、道路维修;园林绿化设计、施工;培育花卉、苗木;销售园林机械设备;收购农副产品(烟草除外);过境货物运输;普通货物运输及代办报关手续服务;“电子商务”。场地出租;展览展示服务;销售百货;销售纺织、服装及日用品;销售文化、体育用品及器材;销售食品、饮料及烟草制品;销售家用电器及电子产品;互联网零售。污水处理(依法须经批准的项目,经相关部门批准后方可开展经营活动)",2000-09-19,2003-04-28,12.25,2003-04-14,定向配售,1.00,4.00亿,5.88,6936万,23.5亿,22.8亿,7.72,8.75,46.87%,8.76,--,--
武汉钢铁股份有限公司,Wuhan Iron and Steel Company Limited,武钢股份->G武钢,--,--,--,--,--,--,--,钢铁行业,上海证券交易所,制造业-黑色金属冶炼和压延加工业,邹继新,马国强,李海涛,马国强,许书铭,"张克华,祁怀锦,张杰,张吉昌",027-86217195,wiscl@wisco.com.cn,027-86217296,www.wisco.com.cn,武汉市青山区厂前武钢2号门,武汉市青山区厂前街(青山区股份公司机关),湖北,430083,101亿,914201003002476548,0,23,北京市金杜律师事务所,立信会计师事务所(特殊普通合伙),"公司是由武汉钢铁集团公司控股的、国内第二大钢铁上市公司.是一家主要经营钢铁生产、销售的公司,该公司拥有当今世界先进水平的炼铁、炼钢、轧钢等完整的钢铁生产工艺流程,钢材产品共计7大类、500多个品种.主要产品有冷轧薄板、冷轧硅钢等,商品材总生产能力1000万吨,其中80%为市场俏销的各类板材.公司先后有1OO多项产品获全国、省、部优质产品证书,硅钢产品获中国名牌、中国钢铁行业最具影响力品牌称号,重轨、板材获湖北省名牌称号,39项钢材产品获冶金行业""金杯奖"",产品实物质量达国际先进水平产量比为64.07%.中国上市公司5O强和综合经济效益前2O名,沪深十大上市公司之一.续八届获得全国设备管理先进单位,连续5 年获计量设备体系AAA 级认证,并获得中国设备工程""金扳手奖""评选活动-卓越贡献奖。","冶金产品及副产品、钢铁延伸产品制造,冶金产品技术开发,钢铁及副产品的销售及货物进出口、代理进出口业务。",1997-11-07,1999-08-03,14.1,1999-07-05,网下定价发行,1.00,3.20亿,4.30,2400万,13.8亿,13.5亿,4.89,4.86,30.91%,4.97,--,4.92%
东风汽车股份有限公司,"Dongfeng Automobile Co.,Ltd.",东风汽车->S东汽,600006,东风汽车,--,--,--,--,上交所主板A股,汽车行业,上海证券交易所,制造业-汽车制造业,陈彬,丁绍斌,张斌,丁绍斌,熊思平,"李克强,张志宏,侯世国",027-84287977,dfac@dfac.com,027-84287988,www.dfac.com,湖北省武汉市经济技术开发区创业路58号,湖北省襄阳市高新区东风汽车大道劲风路3幢,湖北,430056,20.0亿,9142000070689187XB,6865,21,北京市通商律师事务所,普华永道中天会计师事务所(特殊普通合伙),"东风汽车股份有限公司是经国家证监会证监发行字[1999]68号文批准,由东风汽车公司独家发起,采取公开募集方式于1999年7月15日创立,于1999年7月27日在上海证券交易所上市交易。目前,公司拥有涵盖全系轻型商用车到轻、中、重完整体系的发动机产品,以及覆盖全国的销售服务网络。全系列汽车品种从轻卡、工程车、皮卡、特种车到SUV、MPV、客车、轻型客车及底盘等,多方位满足全国客户的不同货物运输类型需要和行业集团客户的差异化需求。其中,发动机事业不断成长。在排放法规标准升级之际,公司凭借多年在核心动力总成上的技术储备和发动机事业的优化布局,优势开始显现。东风康明斯发动机产品已覆盖机械式、柴油发动机、天然气发动机等类型,并在2016年实现市场占有率稳中有升,在工程机械和大中客领域增速远超行业整体水平。东风轻型发动机有限公司采用日产标准质量体系,其开发的ZD30与D28发动机,达到日产全球同类产品的品质,市场销量不断攀升。",主营:汽车(小轿车除外)、汽车发动机及零部件、铸件的开发、设计、生产、销售;机械加工、汽车修理及技术咨询服务。主要产品为:轻型载货汽车、运动型多用途乘用车、客车底盘等。,1999-07-21,1999-07-27,14.33,1999-06-28,网下定价发行,1.00,3.00亿,5.10,3729万,15.3亿,15.0亿,7.27,6.70,43.29%,7.31,--,1.65%
中国国际贸易中心股份有限公司,"China World Trade Center Co.,Ltd.",中国国贸->G国贸,600007,中国国贸,--,--,--,--,上交所主板A股,房地产,上海证券交易所,房地产业-房地产业,唐炜,林明志,王京京,林明志,"骆洋喆,廖哲,张丽滨,章侃","任克雷,吴积民,马蔚华,尹锦滔",010-65052288,dongmi@cwtc.com,010-65053862,www.cwtc.com,北京市建国门外大街1号,北京市建国门外大街1号,北京,100004,10.1亿,91110000100027884X,2220,19,北京大成律师事务所,普华永道中天会计师事务所(特殊普通合伙),"中国国际贸易中心股份有限公司于1985年2月注册成立,是经国务院批准成立的大型中外合资企业。中外方股东分别为中国世贸投资有限公司和嘉里兴业有限公司。中国国贸位于寸土寸金的北京中央商务区的核心地段,由写字楼、商城、酒店、公寓和会展等国际化商业服务设施组成,是首都北京为之自豪的地标性建筑群,是众多跨国公司和国际商社进驻北京的首选之地,是目前中国乃至全球规模大、功能齐全的综合性高档商务服务企业之一。","写字楼、宾馆、公寓、商场、展览厅、会议厅、停车场的出租、服务;提供住宿、餐饮、幼儿园、文体服务;房地产开发与经营;物业管理;承办会议、展览、展销;对外经贸信息咨询;自营和代理各类商品和技术的进出口(国家限定公司经营或禁止进出口的商品和技术除外);酒吧,烟草专卖零售,销售预包装食品,美容美发,洗浴(桑拿按摩、水疗),健身房,游泳池,零售商品部,图书、期刊、报纸的零售,商务中心;广告设计、制作、代理、发布;酒店附属商场及房屋场地出租或经营(办公用房或商务用房);酒类的零售;零售日用品、服装、工艺美术品;体育运动项目经营(以工商登记管理机关核定为准)。",1997-10-15,1999-03-12,19.8,1999-01-27,网下定价发行,1.00,1.60亿,5.46,1936万,8.74亿,8.54亿,6.00,5.85,36.27%,6.12,--,0.92%
北京首创股份有限公司,"Beijing Capital Co.,Ltd.",首创股份->G首创,600008,首创股份,--,--,--,--,上交所主板A股,公用事业,上海证券交易所,电力、热力、燃气及水生产和供应业-水的生产和供应业,杨斌,刘永政,邵丽,刘永政,官念,"孟焰,车丕照,曲久辉,刘俏",010-68356169,master@capitalwater.cn,010-64689030,www.capitalwater.cn,北京市西城区车公庄大街21号2号楼,北京市西城区车公庄大街21号39幢16层,北京,100044,56.9亿,91110000700231088J,14277,20,北京天达共和律师事务所,致同会计师事务所(特殊普通合伙),"北京首创股份有限公司成立于1999年,是北京首都创业集团旗下国有控股环保旗舰企业。公司于2000年在上交所挂牌上市,股票代码:600008。作为首批从事环保投资的上市公司,首创股份率先践行国内水务环保产业市场化改革,积极推动环保事业发展,致力于成为值得信赖的生态环境公共服务商。经过近二十年发展,公司业务从城镇水务、人居环境改善,延伸至水环境综合治理、绿色资源开发与能源管理,布局全国,拓展海外,已成为全球第五大水务环境运营企业。截至2018年6月,首创股份在全国23个省、自治区和直辖市的一百多个城市拥有项目,总资产达到611亿元。公司水处理能力达到2400万吨/日,服务总人口超过5000万,固废处理能力超过4万吨/日。","公用基础设施的投资及投资管理;高科技产品的技术开发、技术咨询、技术转让、技术服务、技术培训;销售自行开发后的产品;房地产项目开发,销售商品房;物业管理;投资咨询;销售百货、五金交电、副食品、包装食品、饮料、家具、工艺美术品、节能设备、电子产品、建筑材料;住宿,中餐、西餐,零售酒、进口卷烟、国产卷烟、雪茄烟,美容美发(仅限新大都饭店经营);零售烟(仅限新大都商品部经营)。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)",1999-08-31,2000-04-27,23.03,2000-04-10,"其他发行方式,战略配售",1.00,3.00亿,8.98,2303万,26.9亿,26.7亿,18.00,17.42,57.46%,18.55,--,0.60%
上海国际机场股份有限公司,"Shanghai International Airport Co.,Ltd.",虹桥机场->上海机场->G沪机场,600009,上海机场,--,--,--,--,上交所主板A股,民航机场,上海证券交易所,交通运输、仓储和邮政业-航空运输业,胡稚鸿,贾锐军,黄晔,贾锐军,苏骏青,何万篷,021-68341609,ir@shairport.com,021-68341615,www.shairport.com,上海市浦东新区启航路900号,上海市浦东新区启航路900号,上海,201207,19.3亿,91310000134616599A,7238,19,上海市锦天城律师事务所,立信会计师事务所(特殊普通合伙),"上海国际机场股份有限公司是从事航空运输地面服务及其他相关业务的服务性企业,提供的产品即服务,包括以先进的机场基础设施,高效顺畅的运行保障系统为中外航空公司的飞机安全起降提供良好的航班地面保障服务;以安全、舒适、优美的候机环境,功能齐备的服务设施和优质服务为旅客提供进出港、转港服务;以诚信的服务原则、规范化的管理和合理的资源定价,为承租商提供经营资源服务;商业租赁方面通过公开招标、邀请招标、竞争性谈判、定向性谈判等方式,引进具有丰富机场商业运作经验的集成商、连锁品牌商以及国际知名旅行零售机构。公司运营管理浦东机场,目前经营业务主要分为航空性业务和非航空性业务,航空性业务指与飞机、旅客及货物服务直接关联的基础性业务;其余类似延伸的商业、办公室租赁、值机柜台出租等都属于非航空性业务。浦东机场属于一类1级机场,目前航空性业务等收费项目的收费标准按照民航局相关文件规定实行政府指导价,非航空性业务收费项目的收费标准实行市场调节价。","为国内外航空运输企业及旅客提供地面保障服务,经营出租机场内航空营业场所、商业场所和办公场所,国内贸易(除专项规定);广告经营,货运代理、代理报关、代理报检业务,长途客运站,停车场管理及停车延伸服务,经营其它与航空运输有关的业务;综合开发,经营国家政策许可的其它投资项目。",1998-02-11,1998-02-18,14.9,1998-01-15,网下定价发行,1.00,3.00亿,6.41,2230万,19.2亿,19.0亿,10.00,9.05,49.39%,10.28,--,1.41%
